Hotel Address,Hotel Name,Review
"2/8 Bd Pasteur, 95210 Saint-Gratien, France",ibis budget Saint-Gratien Enghien-les-Bains,"50 euro a day, I'm gonna start with this.

Have you ever stayed in a hotel room and thought, wow this is dirty? Think again, this room was the dirtiest one I've seen so far.

Im super allergic and couldn't stop sneezing untill I took an antihistamine.

The showerhead holder is broken and I think this is made on purpose so people don't take long showers, as another guest told me theirs was broken too.

Allergics like me should think twice before booking, if not... It's a cheap hotel and just a train away from Paris for just 4.05 euros. Nice restaurants around and a dominos place right next to it."
"2/8 Bd Pasteur, 95210 Saint-Gratien, France",ibis budget Saint-Gratien Enghien-les-Bains,A budget hotel is high praise for this dilapidated building. The decor is worn with mould and damp in places. If you are travelling by car you will find more comfort sleeping in the car. The air conditioning is as effective as someone blowing warm air in your face with their mouth. There is no sink in the toilet - the sink is in the room. The toilet area is very very small.
"2/8 Bd Pasteur, 95210 Saint-Gratien, France",ibis budget Saint-Gratien Enghien-les-Bains,"The worst hotel I've seen in my life.  The receptionist has no respect for customers or tact in speaking. He was very disrespectful.  Even if the customer is wrong, there must be respect, because we did not stay for free.  I do not recommend this hotel at all, in addition to the lack of cleanliness in the place."
"2/8 Bd Pasteur, 95210 Saint-Gratien, France",ibis budget Saint-Gratien Enghien-les-Bains,"I'm giving this hotel a two star for location only as it is a five min walk to a regional train station. Everything about the place was either dirty or in disrepair. Ibis Budget, you can do better, even at the low room cost to guests."
"2/8 Bd Pasteur, 95210 Saint-Gratien, France",ibis budget Saint-Gratien Enghien-les-Bains,"Worst hotel I have visited in a long time!!!!

Everything and incredibly dirty and in poor condition. Partly mold in the room. I can not understand any of the 5 star ratings of other guests."
"53 Av. des Nations ZA Paris Nord 2, 93420 Villepinte, France",KYRIAD ROISSY VILLEPINTE - Parc des Expositions,"I was in this hotel wit my Family
I didnt like it!!!
1. The hotel smell so bad
2. The Elevator smell so bad
3. The Room is tidy but smell so bad
4. I will never come back here,while we go out the cleaner come in  our room and clean our room, thats not normal!!!! This hotel is not to be trusted
Never again!!!
Thats why its so cheap🤥
Worst hotel we went to"
"53 Av. des Nations ZA Paris Nord 2, 93420 Villepinte, France",KYRIAD ROISSY VILLEPINTE - Parc des Expositions,"This place must pay a company to give it good reviews!  The elevators are filthy, the carpet in the room was filthy. The room itself was dirty, The walls were dirty. The entire hotel is in need of an update!
I was told when I checked in, it's a 4 star hotel 😫. I booked the room according to reviews as well!!"
"53 Av. des Nations ZA Paris Nord 2, 93420 Villepinte, France",KYRIAD ROISSY VILLEPINTE - Parc des Expositions,"The hotel is in a very poor condition and the service is really bad.
The bathroom's sink was really dirty, even a piece of hair was there and the tv's remote was missing a battery.
even if it has a good location, it's not worth it.
don't believe any of the positive reviews, it's all a scam.
I'm amazed that this garbage has 2 stars, one star is too generous."
"53 Av. des Nations ZA Paris Nord 2, 93420 Villepinte, France",KYRIAD ROISSY VILLEPINTE - Parc des Expositions,"For a night in Paris, the price is unbeatable. So if you are looking for a cheap stay for a night to catch an early morning flight, this is perfect!

I mean, with such a low price for a separate room near CDG airport, there is very little you can complain about.

However, be prepared; there is no supermarkets/ food shop within walk-able distance. It's kind located in an industrial/ office area."
"53 Av. des Nations ZA Paris Nord 2, 93420 Villepinte, France",KYRIAD ROISSY VILLEPINTE - Parc des Expositions,Good place to stay nearby Paris. Easy to reach here by Metro from Gare Du Nord.
"2, Rue Du Mur Du Parc, Centre Commercial Carrefour, Rn 13, 78240 Chambourcy, France",ibis budget Chambourcy Saint-Germain,"This is the most horrendous hotel I've ever stayed at. We walked into our room on the ground floor and it was like walking into a smoking room. We stayed only one night but it stank so much of cigarettes all our clothes and bags were stinking by the time we left. The room was a dingy mint green and had mould in parts. When you had a shower all the water came out and leaked all over the floor. The room was full of mosquitoes, we are both covered in bites, I've even got one on my forehead which has never happened in my life. I see from the other reviews that we are not the only people with this issue, and it was the last thing I expect in October. It made it really hard to sleep as every time we started falling into a sleep there was a buzzing around our heads. I've stayed in two other budget IBIS hotels, they were fine. This is an awful place, I could not wait to escape."
"2, Rue Du Mur Du Parc, Centre Commercial Carrefour, Rn 13, 78240 Chambourcy, France",ibis budget Chambourcy Saint-Germain,"Not bad quality price for the area, but the hotel was under renovation and it smelled a lot of fresh paint. The receptionist was very friendly."
"2, Rue Du Mur Du Parc, Centre Commercial Carrefour, Rn 13, 78240 Chambourcy, France",ibis budget Chambourcy Saint-Germain,"Needs an update, very old and outdated"
"2, Rue Du Mur Du Parc, Centre Commercial Carrefour, Rn 13, 78240 Chambourcy, France",ibis budget Chambourcy Saint-Germain,Too hot no AC a lot of moustique 🦟 the only good thing free parking and front desk was professional.
"2, Rue Du Mur Du Parc, Centre Commercial Carrefour, Rn 13, 78240 Chambourcy, France",ibis budget Chambourcy Saint-Germain,Excellent
